date,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Ownership of dwellings,Total,Total less mining,Total less mi and ag
2015-12-01,75.23498161013485,68.71853640568084,35.64328657314629,63.431381646098174,44.987216946676405,33.83454106280193,31.431027997205653,30.165444632449706,46.87421792882527,60.025466893039045,65.60101913919137,54.563508481588755,21.846658029113637,9.738361196491491,16.773198148556315,11.247433521959037,13.987297106563162,41.585903083700444,23.438348723519827,91.43820044400461,43.97269734450779,42.29661437470026,41.37794456649655
2016-03-01,75.09570824098327,67.82837127845885,33.51144104091039,64.7240939719541,44.61991113246067,35.942417531180794,31.15176224451478,31.7011701170117,46.52093442048922,58.25553480928247,65.15069644572526,53.96257796257796,18.018681446455563,11.621823617339313,16.650049850448653,11.01356350184957,13.961118285574676,41.1492925209356,29.38424579592869,91.3684546106639,43.38561036439937,41.84545863346567,40.90931008954682
2016-06-01,76.24903175832688,70.15630224005349,33.22611241700689,65.79807437505521,45.04927696417058,33.74301675977654,29.273965775045692,29.0991330569167,46.32984267209291,58.96031603519483,64.85791205504037,59.049537451507014,25.248246649538224,14.646898725111015,16.698251356706002,11.28662668811857,14.767069094877566,43.469730941704036,21.60365600332364,91.2584003162472,43.927351785952354,42.213123709425425,41.225111583302414
2016-09-01,77.36621850235954,73.3626773924262,33.729274931947536,65.85601404741,44.29730626527103,34.42493365704929,30.25448700776855,32.726141816243114,48.31735378715244,56.82234432234432,64.76361707144541,57.82543265613243,19.059044048734773,9.333333333333334,16.696033349091067,10.911027204956918,14.971950686956228,41.414717626925274,25.337569499602857,91.19784796047696,44.17828015236152,42.0984886792912,40.99387023186029
2016-12-01,79.45494362884257,79.91210079109288,35.09757181528019,66.52064026958719,46.334728778836734,34.046138648381664,30.628565335608037,29.819221545840254,47.66053720997401,59.113125388785214,65.89872668048564,57.89553368660106,26.002831524303915,12.585351829224468,16.962661353201074,10.986568750603922,14.443961045480405,38.3513592516808,29.387557492132654,91.06155218554862,46.21084564870429,43.15389419690909,41.92412951727776
2017-03-01,79.68548387096774,81.95121951219512,35.57607739665787,67.81942078364565,46.024324564258876,32.457348099371444,31.114861301550466,24.753908511870296,47.45641951265853,57.695777697582095,66.16838286917857,59.743699885452465,27.889095233440848,13.515353714168993,17.045503189075813,11.11588802904366,15.020509147730973,40.47151277013752,20.693844492440604,90.92031962894809,46.74491075159692,43.280700834076484,42.056877948273055
2017-06-01,79.14703694520209,80.3030303030303,35.75370885035425,69.15494077430638,44.78155339805826,33.904806183529956,32.03908727064817,28.75079035317496,46.31305352329611,57.0217276099629,65.75823922562802,55.899162295467,26.875020075161405,12.376438727149628,17.31358529111338,10.912462555275546,14.422393173443663,39.65080259081949,28.164867517173697,90.89822446895933,45.918828289877794,42.76249350893354,41.576309549471866
2017-09-01,78.42259342173239,79.99484919590225,35.03600802801936,68.6290193569029,43.882445277753554,36.01801185590515,31.29998431864513,25.855864169050474,46.66194188518781,58.08930248441902,64.82271925331511,54.515392488780414,26.592979929235682,11.683941311078208,17.11362182903432,10.824426762088612,13.911309772646879,39.73399833748961,23.743829894950004,91.00768299612145,45.6144299706681,42.51084934903906,41.40013741458192
2017-12-01,77.18620937331657,80.11049723756905,35.487643252514225,68.74899242302112,44.640993087882634,35.97481422655851,30.252984799873772,29.525560224089638,46.78049688285103,55.33747779751332,64.16084908337591,56.270614967382535,23.929065688262366,10.721363456202933,17.2027208599261,10.844534152942796,14.207838591434568,39.30635838150289,20.362529769780366,90.96775764660043,45.31316734329899,42.10032529203227,41.06915268370042
2018-03-01,76.53958944281524,81.07602825093477,35.5443291812888,67.11672815762618,45.94840416735571,32.5451444032704,29.994826694257632,30.237101500754815,46.22429906542056,56.14350543710934,63.93923165816398,57.38030970308282,24.05014089981537,11.760290253972226,17.32962793977353,10.85566589579649,13.880715949491234,41.308266804017514,24.31801425411649,90.98678540649239,45.761547562978876,42.33364334989275,41.36626226865471
2018-06-01,78.2320807813276,81.77521528258933,35.2160482056367,67.39804620871453,45.67098374207771,34.01878794821858,30.534861018342497,27.760504574931154,46.623113728376886,54.331400456861715,63.706097218319755,56.89642933200824,22.163195231770917,12.693909579284119,17.44352888123642,10.966869506423258,14.091968637423182,40.07761966364812,30.542705630147804,90.89035253980288,45.70137803148747,42.05351870201884,40.925651651124745
2018-09-01,77.45503597122301,82.7642608873441,34.72913837332126,68.00361881785284,45.66713271376484,31.926830693705803,28.667983778725176,28.179937952430194,44.852700873056634,50.914269962326564,63.64269206137053,57.64985329048484,22.052744576537314,11.412381184499147,17.473497521060903,11.074541896459705,14.609242824493188,39.984591679506934,27.370467802813682,90.99315788244635,45.75028067038205,41.69960769104551,40.683023364031975
2018-12-01,75.32079112397491,83.7838406803924,34.22657619882595,68.05394990366088,45.76475751590959,33.08377290000567,30.09177102874816,29.236934379696113,45.889914901321745,49.38715325776426,63.54103760636838,57.40940078937926,24.030122527082497,11.508675031518282,17.42736942371805,11.176263116127325,14.666126371240845,39.728830903044255,25.367945300730092,90.90277134118084,45.95570693951122,41.52118654524814,40.63391963935215
2019-03-01,74.5495941397743,83.54032714097221,35.978036556603776,66.85215240745035,44.67009283819628,34.703548600396736,30.612956231638698,28.113513975553467,47.68277893277894,52.46984238795457,63.6208484585794,55.94141956064671,24.79185119574845,11.633475442387432,17.42926182866942,11.053220806062694,14.67871657146105,38.467413441955195,24.523892978151654,90.8836033551649,46.163258323064625,41.852651613962884,41.03488400881384
2019-06-01,74.21157684630738,84.50254232335236,35.107849346198265,64.80586309059723,44.58609505006346,34.87118034751348,29.704869650762422,28.66605945185062,47.29589183567342,51.87630298818624,63.553833229451776,56.84225594045233,25.06983039133815,12.112293411817976,17.32875405456974,11.310547284546027,14.613353866461335,39.144491420044766,22.7267338470658,90.84441201286116,45.888790805701014,41.11720707859786,40.29918124788775
2019-09-01,74.41536471290677,84.3916663469286,34.316544076466414,64.22802850356295,45.367701556452275,35.01228501228501,29.974823517796317,28.065190137902214,46.527112890591,54.598654904358455,63.438158534608526,56.036611942466955,25.009095743192184,11.975336576535806,17.763558805606337,11.384971671973863,14.49799088481972,38.35931510350115,20.97442143727162,90.81731527593122,46.01349561974979,41.24902650525509,40.43579044969866
2019-12-01,74.54114860864416,83.64025864271537,35.52773193657172,64.40266353309832,43.66287498606,34.770759858929146,30.36529680365297,27.522328812437973,47.16149732620321,54.903854596540526,63.16895149344178,55.92683784734436,24.375538329026703,12.340092732249595,17.881695248168015,11.462904482631341,14.371768217922066,35.609243697478995,20.89516515078985,90.87069597883833,45.55296810112044,40.96912756757779,40.14463040243507
