date,industry,gva,gos,margin
2023-06-01,Administrative and support services,21645,2552,11.79025179025179
2023-06-01,Public administration and safety,32409,5999,18.510290351445587
2023-06-01,Education and training,29592,3374,11.401730197350634
2023-06-01,Health care and social assistance,49191,6685,13.589884328434062
2023-06-01,Arts and recreation services,4758,1644,34.552332912988646
2023-06-01,Other services,10242,2252,21.987892989650458
2023-06-01,Ownership of dwellings,54071,48921,90.47548593515933
2023-06-01,Total,609462,285482,46.84164066012319
2023-06-01,Total less mining,531053,217954,41.04185457948641
2023-06-01,Total less mi and ag,515919,206041,39.936695489020565
2023-09-01,"Agriculture, forestry and fishing",13389,9992,74.62842632011353
2023-09-01,Mining,73795,62450,84.62632969713395
2023-09-01,Manufacturing,35528,14248,40.103580274712904
2023-09-01,"Electricity, gas, water and waste services",14025,8410,59.96434937611408
2023-09-01,Construction,46834,19943,42.58231199555878
2023-09-01,Wholesale trade,26508,10873,41.01780594537498
2023-09-01,Retail trade,28555,9677,33.888986167046056
2023-09-01,Accommodation and food services,16043,4777,29.776226391572646
2023-09-01,"Transport, postal and warehousing",28688,13774,48.013106525376465
2023-09-01,Information media and telecommunications,13894,6648,47.84799193896646
2023-09-01,Financial and insurance services,46094,28048,60.84956827352801
2023-09-01,"Rental, hiring and real estate services",17121,9064,52.940832895274816
2023-09-01,"Professional, scientific and technical services",47851,11571,24.181312825228314
2023-09-01,Administrative and support services,22101,2685,12.148771548798697
2023-09-01,Public administration and safety,33167,6140,18.512376760032563
2023-09-01,Education and training,30082,3431,11.405491656139883
2023-09-01,Health care and social assistance,51189,6873,13.42671277032175
2023-09-01,Arts and recreation services,4933,1616,32.758970200689234
2023-09-01,Other services,10655,2254,21.154387611450023
2023-09-01,Ownership of dwellings,55802,50464,90.43403462241497
2023-09-01,Total,617253,283919,45.99718429882074
2023-09-01,Total less mining,543458,221469,40.75181522767169
2023-09-01,Total less mi and ag,530069,211477,39.896126730670915
2023-12-01,"Agriculture, forestry and fishing",13226,9827,74.30061999092696
2023-12-01,Mining,74862,63230,84.46207688814084
2023-12-01,Manufacturing,35741,14070,39.366553817744325
2023-12-01,"Electricity, gas, water and waste services",14227,8472,59.54874534336121
2023-12-01,Construction,47298,19836,41.93834834453888
2023-12-01,Wholesale trade,26613,10787,40.53282230488859
2023-12-01,Retail trade,28797,9734,33.80213216654512
2023-12-01,Accommodation and food services,16149,4868,30.14428137965199
2023-12-01,"Transport, postal and warehousing",29080,14053,48.32530949105915
2023-12-01,Information media and telecommunications,13850,6779,48.94584837545126
2023-12-01,Financial and insurance services,46503,28309,60.875642431671075
2023-12-01,"Rental, hiring and real estate services",17300,9182,53.075144508670526
2023-12-01,"Professional, scientific and technical services",49066,12543,25.563526678351607
2023-12-01,Administrative and support services,22318,2839,12.720673895510352
2023-12-01,Public administration and safety,34115,6276,18.396599736186428
2023-12-01,Education and training,30637,3495,11.407774912687273
2023-12-01,Health care and social assistance,52741,7261,13.767277829392693
2023-12-01,Arts and recreation services,4939,1608,32.55719781332254
2023-12-01,Other services,10664,2140,20.067516879219806
2023-12-01,Ownership of dwellings,57400,51979,90.55574912891986
2023-12-01,Total,623592,285357,45.76020859792941
