date,Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Arts and recreation services,Other services,Total,Total ex mining
2010-09-01,48.410035957493825,8.99303636564607,21.729936562279732,5.9702978511573885,5.005936731405309,4.758973853956374,6.922454640009246,16.59724567525986,26.807399841107703,6.3898500576701265,22.459760114349635,5.442009357301157,3.68795188043016,16.004335260115607,6.117209631728046,12.037315401087074,8.360140371399327
2010-12-01,47.95940034823969,8.284258585323894,22.61567054680622,5.3856307135757,5.220755479029824,4.451937224129475,7.18559525806632,16.038465789764565,27.16091367681233,22.87192173619701,23.595648578153828,5.105198824477907,5.525574847489442,13.46389228886169,8.615794143744454,11.94529851773668,8.537396444710568
2011-03-01,43.19437366221588,8.664621276410557,18.75451263537906,5.6334630600495315,5.205082706153501,4.480411140745071,7.082105731280226,16.484383404453688,26.016892642809513,10.416666666666668,21.571812332104702,5.960365467844398,3.0801064144250665,17.3419773095624,8.342979253850949,11.371003097621802,8.294959024711282
2011-06-01,47.118837275577086,8.189678262639683,20.38642556353728,5.607009970523332,4.9813288240682025,4.654393886766238,7.1942446043165464,17.439226425939076,25.927956576566697,11.86126882251296,23.84004884004884,6.629491945477076,1.5311350895171498,16.512270437185116,6.967388513224343,11.971366626399886,8.386620471562107
2011-09-01,45.56731313703285,7.539436890302474,21.545986689118756,7.086251528578462,5.320760248204427,4.695969832665567,7.286789077708213,16.325479150923954,25.471646524853718,13.97432792443691,25.242836328314716,7.206927069629487,1.8960802187784866,16.65614145879381,6.540476592868008,12.173181922340701,8.570992278987202
2011-12-01,42.89221034257037,7.418588430184402,19.89854738298363,6.6979440210081345,4.978688935603942,4.625411731726119,7.624727117831852,16.213182776681858,24.017127286882058,5.705344246509388,25.276663018363127,7.130355558752307,2.7944111776447107,16.352299298519096,5.168356997971602,11.480099459593678,8.189157576704297
2012-03-01,38.224380767362796,7.093066048968459,20.74274661508704,5.878716794522284,4.811325221343686,4.639181266100174,7.882739609838846,16.70674682698731,26.086467644909206,12.942813765182187,24.464007665588696,6.749311294765841,3.776814240073026,15.01867186231531,4.248957431741285,10.814476763451992,8.157107664027361
2012-06-01,40.5681752164062,6.723721795354399,19.27512355848435,6.21173171301706,4.698005044714515,4.530721859517525,7.425505922345567,16.70879512606131,25.028248587570623,15.779320987654321,25.912605646466464,7.586955047799851,3.3399377299745256,14.170360987967069,5.379825653798257,11.011873328449994,8.161138308264428
2012-09-01,35.80560105469218,6.9841163908168715,16.840983278928785,6.516637396453382,4.183951316679154,4.387894505290944,7.185349956029176,17.075251878835616,26.28771366295744,17.22635221738016,25.10280708027892,8.738153697882007,2.141572666339709,13.561244329228774,5.753848800206416,10.522054537210959,8.163318549439081
2012-12-01,35.421130707104005,6.921161825726141,17.9833137791683,6.171937991571965,4.278896413799373,4.765418718075845,7.186741700655687,16.89656281148516,26.01864640883978,17.80988223867913,24.27423611518386,8.831851703317515,1.6633363935842738,13.713838936669273,5.568986358141944,10.430440893660853,8.195395203567381
2013-03-01,37.23452956748473,6.8950515371915575,17.355096602265156,6.797533816837757,4.483338205203157,4.422933730454207,6.89080010424811,16.859753225958368,26.60322952710496,10.324242069530609,25.322711943249214,8.885079478160202,2.00986172151356,12.763301607114993,6.186381186381187,10.66197166431973,8.195673458831354
2013-06-01,40.71146245059288,6.927120106691771,18.065126334279153,7.23323977361616,4.4270714552868515,4.695002057707256,6.55309364548495,16.29695544397127,27.459228951766264,7.94606040343252,24.308554090325593,8.941319085888743,2.2975057171727915,12.719298245614036,6.694165162842657,11.001348316123599,8.227627396026872
2013-09-01,39.98923863330643,8.119130549799392,19.930992490359245,6.720377579702085,3.907255182273052,4.697141560798548,6.995906371365593,15.694812570995834,27.463938854088845,5.341179133189996,23.70511049723757,8.074617219015357,2.254814969466047,14.914069327119137,6.848404255319148,11.099966124381357,8.168183472879505
2013-12-01,41.325939704488825,6.8456053375847645,20.728945020248474,6.9665692766219856,4.826101328473284,4.672855234652987,6.115293389708157,14.827998991935484,28.449378123910265,5.644481887110362,23.564723859419338,8.13826588565447,2.2742440577031675,13.900796080832823,6.883529310788774,11.227352329825365,8.131349232135507
2014-03-01,39.70331143812482,6.860329399559071,20.95575931999197,6.435297733813955,4.468556555993247,4.734983911333571,7.485575463103553,13.947668525088696,27.837307152875173,9.247488209965143,24.195256247352816,7.838312028618953,3.958744122554224,16.769456681350956,7.515890740422608,11.166030973729164,8.175349970650492
2014-06-01,37.97501061218463,7.225648427590429,20.291911615649706,6.991254120916546,4.279469012423406,4.5138194027527625,7.963827304550758,14.183787227265487,27.957167301429596,9.64894058994599,23.355704697986575,6.633912301340161,2.6886075949367085,11.978167871367457,4.53182272575808,10.619557877383928,7.98845453351274
2014-09-01,37.19351928131498,7.7412746836418895,20.333901192504257,6.814582141003288,4.194671415914156,4.489321835176034,8.073674667175645,13.751098832098455,25.496399738162772,9.430781435938119,23.303085299455535,6.601290442803569,4.267180214879384,14.644949278468353,5.047672462142456,10.43354286825222,8.02425749393386
2014-12-01,36.11834365175799,7.518028317650163,19.042422589005593,6.391551669651322,4.2790805458256465,4.741997396809989,7.302136412509934,15.451306787729752,26.31436019986965,7.16279965341292,23.90540611399507,6.760931558935361,4.18487817131374,16.24457814467609,4.836309523809524,10.403954171961855,8.05100972933289
2015-03-01,34.64481966230393,7.710607976094702,19.919517102615693,6.665533517252199,4.491058222401506,4.8186720813956025,7.684571428571428,15.673505516391112,24.978880675818374,10.447333205887976,24.824248599083038,6.387624695444306,3.508771929824561,15.148079920646168,4.656267147448459,10.361329375661615,8.217305086659515
2015-06-01,34.796529866083986,7.618992672936018,20.464091441162292,6.778047317213136,4.864736800540526,4.984346591214726,7.790310059820083,15.946502057613168,25.071770334928228,6.274547370437782,24.944386771466707,7.689251408137985,3.2315889060399345,14.277723395329325,5.812490168318389,10.364767890444874,8.3868685241101
2015-09-01,35.89614318124527,8.33390975536649,20.205363777612646,5.473598014253362,4.828642710202653,4.903492841153862,7.66451730918736,16.8259682224429,24.50265077948664,9.556640812027196,25.52746626116708,6.668709631794824,2.867673044883122,13.872911531087373,5.04188398925241,10.421097064020813,8.313711315662802
2015-12-01,35.101867572156195,8.402230111267302,19.5530353569046,5.377877625201939,4.732646521359146,4.671260317360434,7.691956333074498,16.23196534854009,24.762686643747756,10.257387988560533,24.372106075487583,5.814613383778671,3.262955854126679,13.827655310621243,3.9393700165785113,10.0814358026805,8.13146138230491
2016-03-01,30.610831937465104,7.444397309253985,18.091412012644888,5.40005871016324,4.598998942043545,4.425812152836222,7.88227938549482,16.75807816466606,23.491849236839375,6.387562049264775,24.561485134695015,5.699167851565232,3.4339335531321327,13.962713209044031,4.91619215654824,9.501062862090603,7.848505829119723
2016-06-01,36.189121155740395,8.375333171795493,19.403082124975615,4.633755348825468,4.546688263362956,4.267392795526825,6.720478059222263,17.16487768347479,24.99213589178987,11.556282365767238,24.76662908680947,7.459695782858184,4.38740486494553,15.181040157998682,3.9302669468441125,10.209928401107533,8.159256072402318
2016-09-01,40.531386738471895,8.771542200618649,17.92725899823811,4.158854396053807,4.5604939113824745,4.626587428288924,7.837183718371837,18.156424581005588,22.290068368039247,5.178168696436626,26.01246825213577,5.888831449057113,3.8712592890138584,13.872071597788892,5.831973898858075,10.427651686552828,7.970132182950683
2016-12-01,47.25402776370453,9.167324627998784,18.028846153846153,5.85159394778737,4.4547536943776,4.525137373903059,6.375227686703097,17.7477753912243,24.814233385661957,15.058866478050561,27.794263105835803,9.498508372710843,3.7948458817584636,13.411889315503773,7.082842559874362,12.311806044437859,8.796102779505269
2017-03-01,46.87389558232932,9.586693918513713,17.16798026915447,5.594431531576085,4.460554718364355,4.580501630451345,5.68632522848767,17.32112743917128,25.08747193064912,15.43286219081272,30.037989607440725,9.474810140121939,4.347394047796492,14.17959941636822,4.408785152767647,12.422642993254893,8.842179074077166
2017-06-01,45.703076237182344,9.110706935337195,19.04154332959069,4.933489875210303,4.509468981489086,4.432057022754273,5.70421944467746,16.529543754674645,24.874851628219023,16.516465931104186,26.968419241029174,8.881669163097824,3.71053014502595,12.99826689774697,7.6018172967710536,11.745957864162476,8.601946364353859
2017-09-01,43.70957962813258,8.728397393521579,18.920264953433936,4.45473396484283,4.819743727081702,4.624640440789207,5.428796223446105,16.86871980318345,26.056954529069472,18.03582956746288,24.380985247174532,9.563080511474864,4.338624338624339,13.655352480417754,5.936500507059833,11.707652064067119,8.602431690417047
2017-12-01,47.66613397256626,9.600606378636813,19.855293596495546,4.490680146229183,5.574938335713359,4.837899340958122,6.241348424395408,16.82408500590319,23.66447034972124,17.404910929224844,26.280774609093605,8.055030023854568,5.249618902439025,13.063291139240507,5.736255286428297,12.236496567970551,8.826898338238145
2018-03-01,47.16601676440787,9.542827234662298,21.003134796238246,5.22897265001754,5.175007602067763,4.94213869311755,6.1077746455856525,16.89411353915093,24.061104344295575,13.919269808796916,27.341484936341864,8.45579280668994,5.839146302027995,15.587197580645162,6.025281962001363,12.530544816272213,8.961907503661827
2018-06-01,45.94371358202679,9.33442376849912,20.926741877693313,4.866234610813357,5.004447173093422,4.834871716144384,5.791880843485652,16.938822447102115,22.692563931737816,14.058294239790817,25.97034815925371,7.5168583895279655,5.919372491791317,14.45947623184808,6.598348569743438,12.157664316177355,8.644396797411444
