"","date","industry","gop","sales","margin"
"295",2006-12-01,"Retail trade",2825,70238,4.02203935191777
"296",2006-12-01,"Accommodation and food services",1036,15014,6.90022645530838
"297",2006-12-01,"Transport, postal and warehousing",3045,21640,14.0711645101664
"298",2006-12-01,"Information media and telecommunications",2024,10412,19.4391087207069
"299",2006-12-01,"Financial and insurance services",1812,10900,16.6238532110092
"300",2006-12-01,"Rental, hiring and real estate services",3059,12643,24.1952068338211
"301",2006-12-01,"Professional, scientific and technical services",657,27189,2.41641840450182
"302",2006-12-01,"Administrative and support services",499,13026,3.83079993858437
"303",2006-12-01,"Arts and recreation services",905,4662,19.4122694122694
"304",2006-12-01,"Other services",652,10241,6.36656576506201
"305",2006-12-01,"Total",47192,451319,10.4564620589871
"306",2006-12-01,"Total less mining",33763,422490,7.9914317498639
"307",2007-03-01,"Mining",12632,27648,45.6886574074074
"308",2007-03-01,"Manufacturing",8941,88713,10.0785679663634
"309",2007-03-01,"Electricity, gas, water and waste services",1529,6417,23.8273336450055
"310",2007-03-01,"Construction",2517,49149,5.12116218030886
"311",2007-03-01,"Wholesale trade",4678,85559,5.46757208476022
"312",2007-03-01,"Retail trade",2961,71328,4.15124495289367
"313",2007-03-01,"Accommodation and food services",1054,15215,6.92737430167598
"314",2007-03-01,"Transport, postal and warehousing",3186,21962,14.5068755122484
"315",2007-03-01,"Information media and telecommunications",4748,16560,28.6714975845411
"316",2007-03-01,"Financial and insurance services",1603,11504,13.9342837273992
"317",2007-03-01,"Rental, hiring and real estate services",3308,13851,23.8827521478594
"318",2007-03-01,"Professional, scientific and technical services",659,27159,2.4264516366582
"319",2007-03-01,"Administrative and support services",615,13771,4.4659066153511
"320",2007-03-01,"Arts and recreation services",961,4817,19.9501764583766
"321",2007-03-01,"Other services",655,10845,6.03964960811434
"322",2007-03-01,"Total",50045,464498,10.7739968740447
"323",2007-03-01,"Total less mining",37413,436850,8.56426691083896
"324",2007-06-01,"Mining",13330,29262,45.5539607682318
"325",2007-06-01,"Manufacturing",8597,90198,9.5312534646001
"326",2007-06-01,"Electricity, gas, water and waste services",1617,6734,24.012474012474
"327",2007-06-01,"Construction",3075,50580,6.07947805456702
"328",2007-06-01,"Wholesale trade",4873,87470,5.57105293243398
"329",2007-06-01,"Retail trade",3061,71775,4.26471612678509
"330",2007-06-01,"Accommodation and food services",1038,15604,6.65214047680082
"331",2007-06-01,"Transport, postal and warehousing",2711,22070,12.2836429542365
"332",2007-06-01,"Information media and telecommunications",4679,16352,28.6142367906067
"333",2007-06-01,"Financial and insurance services",1758,12111,14.5157295021055
"334",2007-06-01,"Rental, hiring and real estate services",3268,13583,24.0594861223588
"335",2007-06-01,"Professional, scientific and technical services",775,29237,2.65075076102199
"336",2007-06-01,"Administrative and support services",561,13789,4.06846036695917
"337",2007-06-01,"Arts and recreation services",969,4898,19.7835851367905
"338",2007-06-01,"Other services",676,10180,6.64047151277014
"339",2007-06-01,"Total",50988,473843,10.7605261658397
"340",2007-06-01,"Total less mining",37658,444581,8.47044745501944
"341",2007-09-01,"Mining",11993,28636,41.8808492806258
"342",2007-09-01,"Manufacturing",8415,90829,9.26466216736945
"343",2007-09-01,"Electricity, gas, water and waste services",1632,7605,21.4595660749507
"344",2007-09-01,"Construction",2928,53261,5.49745592459774
"345",2007-09-01,"Wholesale trade",4572,87078,5.25046510025494
"346",2007-09-01,"Retail trade",3119,72618,4.29507835522873
"347",2007-09-01,"Accommodation and food services",1069,15923,6.7135590027005
"348",2007-09-01,"Transport, postal and warehousing",3172,22636,14.0130765152854
"349",2007-09-01,"Information media and telecommunications",4672,16620,28.1107099879663
"350",2007-09-01,"Financial and insurance services",1791,12265,14.6025275173257
"351",2007-09-01,"Rental, hiring and real estate services",2826,14095,20.0496630010642
"352",2007-09-01,"Professional, scientific and technical services",779,30694,2.53795530071024
"353",2007-09-01,"Administrative and support services",618,13729,4.50142035108165
"354",2007-09-01,"Arts and recreation services",869,4803,18.0928586300229
"355",2007-09-01,"Other services",688,10855,6.33809304467987
"356",2007-09-01,"Total",49144,481647,10.2033231806697
"357",2007-09-01,"Total less mining",37151,453011,8.20090461379525
"358",2007-12-01,"Mining",12370,29710,41.6358128576237
"359",2007-12-01,"Manufacturing",9122,93274,9.77978857988293
"360",2007-12-01,"Electricity, gas, water and waste services",1736,8004,21.6891554222889
"361",2007-12-01,"Construction",3566,55362,6.44124128463567
"362",2007-12-01,"Wholesale trade",5228,92065,5.67859664367566
"363",2007-12-01,"Retail trade",3175,73800,4.30216802168022
"364",2007-12-01,"Accommodation and food services",1055,15999,6.59416213513345
"365",2007-12-01,"Transport, postal and warehousing",3006,22978,13.082078509879
"366",2007-12-01,"Information media and telecommunications",4951,17227,28.7397689673187
"367",2007-12-01,"Financial and insurance services",1752,12043,14.5478701320269
"368",2007-12-01,"Rental, hiring and real estate services",3527,15014,23.4914080191821
"369",2007-12-01,"Professional, scientific and technical services",829,30724,2.69821637807577
"370",2007-12-01,"Administrative and support services",620,14089,4.40059620980907
"371",2007-12-01,"Arts and recreation services",687,4847,14.1737157004333
"372",2007-12-01,"Other services",709,10555,6.71719564187589
"373",2007-12-01,"Total",52333,495691,10.5575852698556
"374",2007-12-01,"Total less mining",39963,465981,8.57610074230494
"375",2008-03-01,"Mining",13774,32660,42.1739130434783
"376",2008-03-01,"Manufacturing",9444,97402,9.69589946818341
"377",2008-03-01,"Electricity, gas, water and waste services",1983,8292,23.9146164978292
"378",2008-03-01,"Construction",3347,55511,6.0294356073571
"379",2008-03-01,"Wholesale trade",4959,94375,5.25456953642384
"380",2008-03-01,"Retail trade",3278,75245,4.35643564356436
"381",2008-03-01,"Accommodation and food services",1136,16268,6.98303417752643
"382",2008-03-01,"Transport, postal and warehousing",3187,23737,13.4262964991364
"383",2008-03-01,"Information media and telecommunications",5049,17302,29.1815975031788
"384",2008-03-01,"Financial and insurance services",1837,11791,15.5796794165041
"385",2008-03-01,"Rental, hiring and real estate services",3962,15039,26.3448367577632
"386",2008-03-01,"Professional, scientific and technical services",899,31268,2.87514391710375
"387",2008-03-01,"Administrative and support services",654,15392,4.2489604989605
"388",2008-03-01,"Arts and recreation services",713,5170,13.7911025145068
"389",2008-03-01,"Other services",694,10579,6.56016636733151
"390",2008-03-01,"Total",54917,510031,10.767384727595
"391",2008-03-01,"Total less mining",41143,477371,8.61866347138808
